workload,semantic_recall_pct,semantic_ci_low_pct,semantic_ci_high_pct,jaccard_pct,jaccard_ci_low_pct,jaccard_ci_high_pct,on_time_recall_pct,on_time_ci_low_pct,on_time_ci_high_pct
GovReport,86.28367072635506,85.56845923853412,86.92597469095165,76.81160574101715,75.767424129005,78.70302922000643,87.54629444444446,81.25,91.1111
MultiFieldQA,84.34254649440422,81.98352123107307,85.56717344195745,74.10140728068045,70.71337386995692,75.9528869902527,80.69444166666668,76.66665,83.75
MuSiQue,83.83553118828176,82.85134820057056,84.47460637480798,73.37927416015631,72.05622276349203,74.37554594694173,87.77777777777777,84.44443333333332,90.0
NarrativeQA,83.94874414819692,82.60054929229756,84.74716096115867,73.5141271604771,71.67930502599557,74.67411460402111,68.88889999999999,60.0,80.00000000000001
QMSum,84.60062015397557,83.97560301002122,85.43353631775291,74.40576071868693,72.92598492222737,75.66885944698961,85.92593055555554,80.000025,93.33333333333333
MultiNews,85.19775551349572,85.0925944974764,85.28455535439981,75.21545532584888,75.0011085904243,75.37154713347523,83.33797333333334,73.8889,90.625
RepoBench-P,84.75543577646113,83.87989974215492,85.5045465766952,74.81719640136525,73.61930045091056,75.63920564124139,87.2222388888889,84.44446666666666,88.88889999999999
Alt-MultiKey,85.53349700095092,84.82991482883476,86.03978083168752,75.725620846561,74.71349195793961,76.45155889359889,89.44444166666666,88.333325,90.0
