model,dataset,workload,sample_count,valid_transitions,mean_overlap,std_overlap,ci95_low,ci95_high,mean_jaccard,mean_all_active_overlap
Qwen-2.5-7B,gov_report,GovReport,3,72912,86.4441038512179,0.8764008331120503,85.75774563857802,87.68104015799868,77.15895413544915,79.3311894391386
Qwen-2.5-7B,multifieldqa_en,MultiFieldQA,3,72912,84.92317794053105,1.6633968913767545,82.57282751810402,86.18334430546412,75.01883667583229,77.37514505447338
Qwen-2.5-7B,musique,MuSiQue,3,72912,84.52303804586352,0.744279845861568,83.48214285714286,85.17888001974984,74.43987554347183,76.83672834824685
Qwen-2.5-7B,narrativeqa,NarrativeQA,3,72912,84.5517541694097,0.9768488367374851,83.19078135286372,85.43758229098091,74.4659244428499,76.8666719971435
Qwen-2.5-7B,qmsum,QMSum,3,72912,85.11930477836296,0.8054032788293649,84.01446263989467,85.91152690915075,75.24191952511394,77.58599865808503
Qwen-2.5-7B,multi_news,MultiNews,3,72912,85.45952655255651,0.15923268443143945,85.24831303489138,85.63276621132324,75.70909013474456,77.98001654328579
Qwen-2.5-7B,repobench-p,RepoBench-P,3,72912,85.35254827737546,0.592300908683319,84.57146971691903,86.00513289993417,75.76646633107994,78.04574752835963
Qwen-2.5-7B,ruler_multikey_alternating,Alt-MultiKey,3,72912,86.18162991002852,0.5301844872426872,85.45044025674785,86.69097679394338,76.7654249953332,78.98489677660697
