dataset,policy,sample_count,event_count,mean_t_block_ms,std_t_block_ms,ci95_low_t_block_ms,ci95_high_t_block_ms,mean_semantic_recall,std_semantic_recall,ci95_low_semantic_recall,ci95_high_semantic_recall,mean_on_time_recall,std_on_time_recall,ci95_low_on_time_recall,ci95_high_on_time_recall,mean_read_amplification,std_read_amplification,ci95_low_read_amplification,ci95_high_read_amplification,mean_useful_on_time_bytes,std_useful_on_time_bytes,ci95_low_useful_on_time_bytes,ci95_high_useful_on_time_bytes,mean_late_useful_bytes,std_late_useful_bytes,ci95_low_late_useful_bytes,ci95_high_late_useful_bytes,mean_wrong_nvme_bytes,std_wrong_nvme_bytes,ci95_low_wrong_nvme_bytes,ci95_high_wrong_nvme_bytes,mean_wrong_h2d_bytes,std_wrong_h2d_bytes,ci95_low_wrong_h2d_bytes,ci95_high_wrong_h2d_bytes,mean_correction_bytes,std_correction_bytes,ci95_low_correction_bytes,ci95_high_correction_bytes
gov_report,History-Last1,3,10,0.100366,0.042894895652047,0.07439899999999999,0.149877,0.8754629444444445,0.054686467215475355,0.8125,0.9084027208333333,0.8754629444444445,0.054686467215475355,0.8125,0.911111,1.1002316666666667,0.021475324405776364,1.086805,1.125,884736.0,28898.659653654842,851968.0,906581.3333333334,0.0,0.0,0.0,0.0,101944.88888888888,25224.818161074214,87381.33333333333,131072.0,101944.88888888888,25224.818161074214,87381.33333333333,131072.0,127431.11111111111,60157.357231156995,87381.33333333333,196608.0
gov_report,No-Selected-Prefetch,3,10,0.38604127777777775,0.012682656913996695,0.3752663333333333,0.400018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012167.1111111111,33369.29786051399,983040.0,1048576.0
gov_report,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1012167.1111111111,33369.29786051399,983040.0,1048576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gov_report,Past-Frequency,3,10,0.08588727777777777,0.03719493999051683,0.053699833333333336,0.126607,0.9071758888888889,0.030399954397504786,0.875,0.9354166666666667,0.9071758888888889,0.030399954397504786,0.875,0.9354166666666667,1.1298605555555554,0.023640276150702747,1.1090283333333333,1.1555533333333334,917504.0,21845.333333333372,895658.6666666666,939349.3333333334,0.0,0.0,0.0,0.0,131072.0,21845.333333333336,109226.66666666667,152917.33333333334,131072.0,21845.333333333336,109226.66666666667,152917.33333333334,94663.11111111111,33369.297860513994,65536.0,131072.0
gov_report,Random-Same-Volume,3,10,0.21117272222222225,0.010305076926141956,0.20493683333333335,0.2230673333333333,0.5104166111111111,0.010087357629910008,0.5,0.5201388333333333,0.5104166111111111,0.010087357629910008,0.5,0.5201388333333333,1.5266205555555556,0.027850622092260826,1.5,1.5555566666666667,517006.22222222225,12612.409080537094,502442.6666666667,524288.0,0.0,0.0,0.0,0.0,531569.7777777779,12612.409080537127,524288.0,546133.3333333334,531569.7777777779,12612.409080537127,524288.0,538851.5555555556,495160.8888888888,25224.81816107422,480597.3333333333,524288.0
multi_news,History-Last1,3,10,0.10341994444444445,0.026243371318790693,0.0838955,0.13325233333333333,0.8333797333333334,0.08574969104558529,0.738889,0.90625,0.8333797333333334,0.08574969104558529,0.738889,0.90625,1.171064,0.08440331905796118,1.09375,1.26111,848327.1111111111,103813.2287124512,742741.3333333334,917504.0,0.0,0.0,0.0,0.0,172578.13333333333,82983.51782886367,98304.0,262144.0,172578.13333333333,82983.51782886367,98304.0,262144.0,168209.06666666668,84521.96323449505,98304.0,262144.0
multi_news,No-Selected-Prefetch,3,10,0.3799093444444444,0.009040612202127644,0.37341320000000006,0.39023433333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016536.1777777778,28089.16872321931,996147.1999999998,1048576.0
multi_news,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1016536.1777777778,28089.16872321931,996147.1999999998,1048576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_news,Past-Frequency,3,10,0.11232913333333333,0.027820577277499717,0.09049499999999999,0.143653,0.8396758444444444,0.08462388233790302,0.7444443333333334,0.90625,0.8396758444444444,0.08462388233790302,0.7444443333333334,0.90625,1.192916,0.10335272936889478,1.09375,1.3,852696.1777777778,104317.66171248988,742741.3333333334,950272.0,0.0,0.0,0.0,0.0,195879.82222222222,104317.6617124899,98304.0,305834.6666666667,195879.82222222222,104317.6617124899,98304.0,305834.6666666667,163840.0,86695.97896096451,98304.0,262144.0
multi_news,Random-Same-Volume,3,10,0.20946814444444442,0.017986972373431633,0.19855233333333333,0.23022850000000003,0.5339352222222221,0.056472729452496026,0.46875,0.5680556666666666,0.5339352222222221,0.056472729452496026,0.46875,0.5680556666666666,1.498658,0.028850366236843467,1.47639,1.53125,541036.0888888888,42937.79780128112,491520.0,567978.6666666666,0.0,0.0,0.0,0.0,507539.9111111111,42937.79780128114,480597.3333333333,557056.0,507539.9111111111,42937.79780128114,480597.3333333333,557056.0,475500.0888888889,70663.26601394133,432537.5999999999,557056.0
multifieldqa_en,History-Last1,3,10,0.1134025,0.017136191328588738,0.09420449999999998,0.127152,0.8069444166666667,0.036403832279662984,0.7666665,0.8375,0.8069444166666667,0.036403832279662984,0.7666665,0.8375,1.1878475,0.043406472083665014,1.146875,1.2333349999999998,797354.6666666666,41232.162462491986,753664.0,835584.0,0.0,0.0,0.0,0.0,185685.33333333334,41232.162462491986,147456.0,229376.0,185685.33333333334,41232.162462491986,147456.0,229376.0,191146.66666666666,34106.01573525312,163840.0,229376.0
multifieldqa_en,No-Selected-Prefetch,3,10,0.36843424999999996,0.008570814280889546,0.3632955,0.3783285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988501.3333333334,9459.306810402828,983040.0,999424.0
multifieldqa_en,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,988501.3333333334,9459.306810402828,983040.0,999424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multifieldqa_en,Past-Frequency,3,10,0.08523075000000001,0.012774064444705921,0.070617,0.09427124999999999,0.8732639166666667,0.011426627855401328,0.8666665,0.88645825,0.8732639166666667,0.011426627855401328,0.8666665,0.88645825,1.1878466666666665,0.02104802578826177,1.1635425,1.2,862890.6666666666,18918.613620805656,851968.0,884736.0,0.0,0.0,0.0,0.0,185685.33333333334,18918.613620805656,163840.0,196608.0,185685.33333333334,18918.613620805656,163840.0,196608.0,125610.66666666667,9459.306810402828,114688.0,131072.0
multifieldqa_en,Random-Same-Volume,3,10,0.20366408333333333,0.006499706264196347,0.196638,0.20946225,0.5083332500000001,0.022047943340876477,0.4916665,0.53333325,0.5083332500000001,0.022047943340876477,0.4916665,0.53333325,1.5527783333333334,0.01734888475041939,1.5333325,1.56667,502442.6666666667,18918.613620805656,491520.0,524288.0,0.0,0.0,0.0,0.0,546133.3333333334,18918.613620805656,524288.0,557056.0,546133.3333333334,18918.613620805656,524288.0,557056.0,486058.6666666667,25026.973395385496,458752.0,507904.0
musique,History-Last1,3,10,0.08335980555555556,0.017188098659540352,0.06468974999999999,0.098526,0.8777777777777778,0.029397320781801715,0.8444443333333332,0.9,0.8777777777777778,0.029397320781801715,0.8444443333333332,0.9,1.1222222222222222,0.029398076719656493,1.1,1.1555566666666666,862890.6666666666,28898.659653654864,830122.6666666666,884736.0,0.0,0.0,0.0,0.0,120149.33333333333,28898.65965365484,98304.0,152917.33333333334,120149.33333333333,28898.65965365484,101944.88888888889,152917.33333333334,120149.33333333333,28898.65965365484,98304.0,152917.33333333334
