hit_rate,lead_ms,history_mean_t_block_ms,no_mean_t_block_ms,oracle_mean_t_block_ms,history_p50_t_block_ms,no_p50_t_block_ms,oracle_p50_t_block_ms,speedup_no_over_history,latency_saving_ms,oracle_gap_closed
0.0,0.0,0.5046952499999999,0.57679455,0.2831975,0.5009265,0.405449,0.2785295,1.1428571003987062,0.07209930000000009,0.24557229032103722
0.0,0.25,0.4437394,0.4050823,0.051373999999999996,0.44097549999999996,0.4063875,0.0470845,0.9128833274665266,-0.0386571,-0.10929090439777635
0.0,0.5,0.43605784999999997,0.4067283,0.0,0.4348415,0.4045215,0.0,0.9327393142905236,-0.029329549999999982,-0.07211091532111236
0.0,1.0,0.44393950000000004,0.41176050000000003,0.0,0.4437445,0.41090800000000005,0.0,0.927514897863335,-0.03217900000000001,-0.07814979824436781
0.0,2.0,0.44577609999999995,0.42140215000000003,0.0,0.444139,0.418289,0.0,0.945322438775879,-0.024373949999999922,-0.057840117806707725
0.0,4.0,0.44506195000000004,0.4198976,0.0,0.4502355,0.4171035,0.0,0.9434587701779492,-0.025164350000000058,-0.059929730486671176
0.0,8.0,0.44847415,0.4255116,0.0,0.45241299999999995,0.4213765,0.0,0.9487984981966072,-0.022962550000000026,-0.05396456876851307
25.0,0.0,0.6316851,0.40418459999999995,0.34213355,0.629579,0.401984,0.341831,0.6398514069747726,-0.22750050000000005,-3.666344082815686
25.0,0.25,0.40666884999999997,0.4073803,0.0758548,0.40727599999999997,0.4096455,0.07264000000000001,1.001749457820534,0.0007114500000000024,0.0021459887700946154
25.0,0.5,0.28430330000000004,0.40993205,0.0,0.28422000000000003,0.40779200000000004,0.0,1.4418828413177052,0.12562874999999996,0.30646237589863967
25.0,1.0,0.2894834,0.41382070000000004,0.0,0.288732,0.412713,0.0,1.4295144384790286,0.12433730000000004,0.30046177003712
25.0,2.0,0.29356495,0.41690675,0.0,0.2937845,0.41594200000000003,0.0,1.420151656388135,0.1233418,0.29584985131567193
25.0,4.0,0.29428960000000004,0.42215579999999997,0.0,0.29483950000000003,0.417842,0.0,1.43449105914718,0.12786619999999993,0.3028886491669662
25.0,8.0,0.29581955,0.42383005,0.0,0.2926455,0.422886,0.0,1.4327317109366167,0.12801050000000003,0.3020326189707408
50.0,0.0,0.56962885,0.40592059999999996,0.3789439,0.5676835,0.4039145,0.376652,0.7126054096452453,-0.16370825,-6.068505413931289
50.0,0.25,0.3357673,0.4041091,0.1259657,0.33592049999999996,0.403359,0.1249175,1.2035391772814088,0.06834180000000001,0.24570707052549157
50.0,0.5,0.20158985000000001,0.4060386,0.0,0.200922,0.4009375,0.0,2.0141817655998056,0.20444875,0.5035204781023283
50.0,1.0,0.2034972,0.41360735000000004,0.0,0.20311400000000002,0.4122805,0.0,2.032496515922578,0.21011015000000005,0.5079942365627691
50.0,2.0,0.20658015000000002,0.4214707,0.0,0.20658500000000002,0.4160625,0.0,2.040228453701868,0.21489054999999996,0.50985881106326
50.0,4.0,0.20608559999999998,0.4220766,0.0,0.205461,0.4152885,0.0,2.048064493589072,0.21599100000000004,0.5117341259856624
50.0,8.0,0.2060131,0.425857,0.0,0.20590150000000002,0.4208555,0.0,2.0671355365265605,0.21984389999999998,0.5162387843806724
62.5,0.0,0.53345325,0.4078774,0.37999815,0.5338099999999999,0.409836,0.37648550000000003,0.7645982098712493,-0.12557585,-4.504276478025768
62.5,0.25,0.2932711,0.40848405000000004,0.1517607,0.2942745,0.411293,0.15110800000000002,1.3928547681650187,0.11521295000000004,0.44878251238151895
62.5,0.5,0.161916,0.40750705,0.0,0.1618195,0.40537049999999997,0.0,2.5167806146396896,0.24559104999999998,0.6026669968041043
62.5,1.0,0.16600035,0.41851874999999994,0.0,0.166127,0.41661499999999996,0.0,2.521191973390417,0.2525183999999999,0.603362214954527
62.5,2.0,0.1688647,0.42097775000000004,0.0,0.168723,0.4157925,0.0,2.492988469466976,0.25211305000000006,0.5988749999257681
62.5,4.0,0.16885305,0.41910869999999995,0.0,0.168597,0.41525,0.0,2.4820913806413323,0.25025564999999994,0.5971139468114118
62.5,8.0,0.16853100000000001,0.41526604999999994,0.0,0.168462,0.4144325,0.0,2.4640336199274904,0.24673504999999993,0.5941613816010242
68.75,0.0,0.51376745,0.4096985,0.37617505,0.5114879999999999,0.409427,0.37505049999999995,0.7974395808843087,-0.10406895,-3.10436276695865
68.75,0.25,0.2661458,0.4080543,0.1538485,0.267113,0.4101955,0.15218900000000002,1.5331983446667203,0.1419085,0.5582425735368745
68.75,0.5,0.147593,0.4050294,0.0,0.1478955,0.4021845,0.0,2.7442317725095364,0.2574364,0.6355992922982875
68.75,1.0,0.15181325,0.41369895,0.0,0.1521085,0.411433,0.0,2.725051667097569,0.2618857,0.6330344807498303
68.75,2.0,0.15383985,0.4164137,0.0,0.15354299999999999,0.413648,0.0,2.7067999611284073,0.26257385,0.6305600656270435
68.75,4.0,0.1567673,0.42875355,0.0,0.157319,0.428275,0.0,2.734968006720789,0.27198625,0.6343650099223668
68.75,8.0,0.15381175,0.41975299999999993,0.0,0.15393600000000002,0.42003,0.0,2.7290047736925165,0.2659412499999999,0.633566049557716
75.0,0.0,0.51052075,0.40810789999999997,0.37667645,0.5137069999999999,0.410579,0.3750215,0.7993953233046844,-0.10241285,-3.258292251868752
75.0,0.25,0.26054335,0.4049402,0.15677175000000002,0.2626055,0.40240600000000004,0.159836,1.5542142986953993,0.14439684999999997,0.5818501505731288
75.0,0.5,0.1236095,0.41077885,0.0,0.1233455,0.415111,0.0,3.323198055165663,0.28716935,0.6990850429616813
75.0,1.0,0.1250185,0.41526874999999996,0.0,0.125274,0.415404,0.0,3.321658394557605,0.29025024999999993,0.6989455623617234
75.0,2.0,0.1270118,0.41732015,0.0,0.1269725,0.41611699999999996,0.0,3.285680149403441,0.29030835,0.695649011915672
75.0,4.0,0.12694585,0.4225676,0.0,0.12690600000000002,0.4213635,0.0,3.328723231204486,0.29562175,0.699584516181553
75.0,8.0,0.12770600000000001,0.41961149999999997,0.0,0.127317,0.415373,0.0,3.2857618279485687,0.29190549999999993,0.6956565775723496
81.25,0.0,0.46617425,0.40788015,0.37582135,0.466011,0.410408,0.374533,0.8749521235889799,-0.058294100000000015,-1.8183494079628688
81.25,0.25,0.2173731,0.40619174999999996,0.16541735,0.21555200000000002,0.404176,0.1604795,1.8686385297904844,0.18881864999999995,0.7842139778979824
81.25,0.5,0.1147111,0.40881375000000003,0.0,0.113803,0.40583,0.0,3.5638551979712516,0.29410265,0.7194049857667458
81.25,1.0,0.11645894999999999,0.4139476,0.0,0.116292,0.411736,0.0,3.5544507313521208,0.29748865,0.7186625795148951
81.25,2.0,0.11778845,0.41977444999999997,0.0,0.117114,0.4183215,0.0,3.563799761351813,0.301986,0.7194006209763362
81.25,4.0,0.11735925,0.41825605,0.0,0.11692749999999999,0.415481,0.0,3.5638950487498855,0.30089679999999996,0.7194081233254127
81.25,8.0,0.11769375,0.41814595,0.0,0.1171375,0.41706049999999995,0.0,3.5528305453773035,0.3004522,0.7185342821089143
87.5,0.0,0.43716619999999995,0.41151925,0.37810235,0.438255,0.411574,0.3768305,0.9413336392429242,-0.025646949999999946,-0.7674844165676626
87.5,0.25,0.1887365,0.40916864999999997,0.15512085,0.1890885,0.4115765,0.1530235,2.1679359848254047,0.22043214999999997,0.8676798224586083
87.5,0.5,0.0872381,0.4113118,0.0,0.0871185,0.4129235,0.0,4.714818410763187,0.3240737,0.7879027540663799
87.5,1.0,0.08906499999999999,0.41614365,0.0,0.08927299999999999,0.416217,0.0,4.672358951327682,0.32707864999999997,0.7859753476954412
87.5,2.0,0.08956634999999999,0.41917989999999994,0.0,0.0892725,0.4151295,0.0,4.680104749160818,0.3296135499999999,0.7863295687603341
87.5,4.0,0.08980550000000001,0.41714995000000005,0.0,0.0899725,0.41463,0.0,4.645037887434511,0.32734445,0.7847165030224742
87.5,8.0,0.0897269,0.42204810000000004,0.0,0.089601,0.4173275,0.0,4.703696438860588,0.33232120000000004,0.7874012464456066
93.75,0.0,0.42790480000000003,0.40692130000000004,0.37523460000000003,0.42765949999999997,0.4090895,0.37510699999999997,0.9509622233730494,-0.02098349999999999,-0.6622179021482193
93.75,0.25,0.1817821,0.40296009999999993,0.15913729999999998,0.181764,0.401954,0.160469,2.2167204581749242,0.22117799999999993,0.9071259947798154
93.75,0.5,0.0818874,0.40911825,0.0,0.081961,0.40678899999999996,0.0,4.996107459755714,0.32723085,0.7998441770808318
93.75,1.0,0.08369125000000001,0.41487299999999994,0.0,0.0835555,0.41472299999999995,0.0,4.95718489089361,0.33118174999999994,0.7982726039052915
93.75,2.0,0.08532935,0.4203468,0.0,0.085046,0.416103,0.0,4.926169014530171,0.33501745000000005,0.7970024988890126
93.75,4.0,0.08717264999999999,0.4338254,0.0,0.088171,0.43422,0.0,4.9766228283756435,0.34665275000000007,0.7990605206610771
93.75,8.0,0.08515625,0.42076335,0.0,0.0852715,0.416591,0.0,4.941074201834862,0.3356071,0.7976148588036482
100.0,0.0,0.4068384500000001,0.40921989999999997,0.4082318,0.40946550000000004,0.4100215,0.409024,1.0058535519442666,0.002381449999999896,2.4101305535876087
100.0,0.25,0.15430895,0.40281415000000004,0.1585338,0.152137,0.40185550000000003,0.1610155,2.6104393167084607,0.24850520000000004,1.0172950873862756
100.0,0.5,0.0,0.40457635,0.0,0.0,0.4035415,0.0,inf,0.40457635,1.0
100.0,1.0,0.0,0.4115676,0.0,0.0,0.4092295,0.0,inf,0.4115676,1.0
100.0,2.0,0.0,0.4196862,0.0,0.0,0.4159385,0.0,inf,0.4196862,1.0
100.0,4.0,0.0,0.42263385,0.0,0.0,0.415724,0.0,inf,0.42263385,1.0
100.0,8.0,0.0,0.4186278,0.0,0.0,0.41665399999999997,0.0,inf,0.4186278,1.0
