dataset,sample_id,policy,event_count,mean_t_block_ms,mean_semantic_recall,mean_on_time_recall,mean_read_amplification,mean_useful_on_time_bytes,mean_late_useful_bytes,mean_wrong_nvme_bytes,mean_wrong_h2d_bytes,mean_correction_bytes
multifieldqa_en,multifieldqa_en/2,History-Last1,4,0.118851,0.81666675,0.81666675,1.1833325,802816.0,0.0,180224.0,180224.0,180224.0
multifieldqa_en,multifieldqa_en/2,Past-Frequency,4,0.09427125,0.8666665,0.8666665,1.1999974999999998,851968.0,0.0,196608.0,196608.0,131072.0
multifieldqa_en,multifieldqa_en/2,Oracle,4,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
musique,musique/2,No-Selected-Prefetch,3,0.3978973333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
musique,musique/2,Random-Same-Volume,3,0.1983113333333333,0.511111,0.511111,1.5555566666666667,502442.6666666667,0.0,546133.3333333334,546133.3333333334,480597.3333333333
musique,musique/2,History-Last1,3,0.098526,0.8444443333333332,0.8444443333333332,1.1555566666666666,830122.6666666666,0.0,152917.33333333334,152917.33333333334,152917.33333333334
musique,musique/2,Past-Frequency,3,0.097408,0.8444443333333332,0.8444443333333332,1.2222199999999999,830122.6666666666,0.0,218453.33333333334,218453.33333333334,152917.33333333334
musique,musique/2,Oracle,3,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
musique,musique/1,No-Selected-Prefetch,4,0.353971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
musique,musique/1,Random-Same-Volume,4,0.22691675,0.43333325,0.43333325,1.6333325,425984.0,0.0,622592.0,622592.0,557056.0
musique,musique/1,History-Last1,4,0.06468974999999999,0.9,0.9,1.1,884736.0,0.0,98304.0,98304.0,98304.0
musique,musique/1,Past-Frequency,4,0.053871,0.9,0.9,1.1666675,884736.0,0.0,163840.0,163840.0,98304.0
musique,musique/1,Oracle,4,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
musique,musique/0,No-Selected-Prefetch,3,0.37052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
musique,musique/0,Random-Same-Volume,3,0.20447366666666666,0.5333333333333333,0.5333333333333333,1.5333333333333332,524288.0,0.0,524288.0,524288.0,458752.0
musique,musique/0,History-Last1,3,0.08686366666666667,0.8888889999999999,0.8888889999999999,1.11111,873813.3333333334,0.0,109226.66666666667,109226.66666666667,109226.66666666667
musique,musique/0,Past-Frequency,3,0.07883733333333333,0.9333329999999999,0.9333329999999999,1.13333,917504.0,0.0,131072.0,131072.0,65536.0
musique,musique/0,Oracle,3,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
narrativeqa,narrativeqa/0,No-Selected-Prefetch,8,0.35337675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
narrativeqa,narrativeqa/0,Random-Same-Volume,8,0.197892625,0.53333325,0.53333325,1.5333325,524288.0,0.0,524288.0,524288.0,458752.0
narrativeqa,narrativeqa/0,History-Last1,8,0.107011125,0.8,0.8,1.2,786432.0,0.0,196608.0,196608.0,196608.0
narrativeqa,narrativeqa/0,Past-Frequency,8,0.103372625,0.80833325,0.80833325,1.25833375,794624.0,0.0,253952.0,253952.0,188416.0
narrativeqa,narrativeqa/0,Oracle,8,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
