mode,policy,count,mean_t_block_ms,p50_t_block_ms,p95_t_block_ms,p99_t_block_ms,pr_block_gt_0,max_t_block_ms,mean_on_time_recall,mean_semantic_recall,mean_read_amplification,mean_actual_qd
controlled,History-Last1,1400,0.2304519885714286,0.169145,0.517384,0.62752709,0.9285714285714286,0.65307,0.48714285714285716,0.64375,1.35625,4.0
controlled,No-Selected-Prefetch,1400,0.4165666907142857,0.4133325,0.44103805,0.45004106,1.0,3.79391,0.0,0.0,1.0,4.0
controlled,Oracle,1400,0.07183284928571429,0.0,0.37707135,0.40553651,0.2857142857142857,0.420543,0.7843303571428571,1.0,1.0,4.0
workload,History-Last1,80,0.095974275,0.0919045,0.1690955,0.17357992,0.925,0.174569,0.8510417125,0.8510417125,1.150780875,4.0
workload,No-Selected-Prefetch,80,0.36863345000000003,0.364154,0.410924,0.42650472999999994,1.0,0.430623,0.0,0.0,1.0,4.0
workload,Oracle,80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
workload,Past-Frequency,80,0.0861114375,0.0872395,0.15545909999999996,0.18694279999999963,0.875,0.232668,0.8719270625,0.8719270625,1.188072625,4.0
workload,Random-Same-Volume,80,0.20416245000000002,0.2006485,0.2588816,0.27831565999999996,1.0,0.279537,0.5248437125,0.5248437125,1.53515625,4.0
